ï..NUM_EXP;MUESTRA;BLOQUE;TUESTE;TRATAMIENTO;PH
7;Hazel;6;Claro;Chorreado;5.57
8;Daniela;1;Claro;Chorreado;5.58
10;Gabriel;4;Claro;Chorreado;5.62
9;Daniela;2;Oscuro;Chorreado;5.9
11;Hazel;5;Oscuro;Chorreado;5.86
12;Gabriel;3;Oscuro;Chorreado;5.88
3;Daniela;1;Claro;Coffee Maker;5.47
4;Gabriel;4;Claro;Coffee Maker;5.49
5;Hazel;6;Claro;Coffee Maker;5.44
1;Gabriel;3;Oscuro;Coffee Maker;5.85
2;Hazel;5;Oscuro;Coffee Maker;5.79
6;Daniela;2;Oscuro;Coffee Maker;5.82
13;Gabriel;4;Claro;Prensa Francesa;6.26
15;Daniela;1;Claro;Prensa Francesa;6.04
16;Hazel;6;Claro;Prensa Francesa;6.12
14;Gabriel;3;Oscuro;Prensa Francesa;6.55
17;Hazel;5;Oscuro;Prensa Francesa;6.41
18;Daniela;2;Oscuro;Prensa Francesa;6.32
